FACILITY_ID,ON_GRID_AVL,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,URBAN,ON_GRID,EA,SOLAR_INC,SOLAR_ONL,DIESEL_INC,DIESEL_ONL,FACILITY_TYPE
1103007,0,2.6775398,4.0255485,20.475315,rural,0,0,0,0,0,0,minor
1103008,0,.28201151,.28201151,16.724546,urban,0,1,1,1,0,0,medium
1103009,0,1.3628573,1.3628573,18.261673,urban,0,1,1,1,0,0,major
1103010,0,2.6298409,5.4650626,11.598674,rural,0,0,0,0,0,0,medium
1103011,0,2.9836688,2.9836688,17.649626,rural,0,1,1,1,0,0,minor
1103012,0,.59967625,.59967625,17.501854,urban,0,1,0,0,1,1,minor
1103013,0,,,,rural,0,1,1,1,0,0,minor
1103014,0,,,,rural,0,1,1,1,0,0,minor
1103015,0,,,,rural,0,1,0,0,1,1,minor
1103016,0,,,,rural,0,1,0,0,1,1,minor
1103017,0,,,,rural,0,1,0,0,1,1,minor
1103018,0,,,,rural,0,1,1,1,0,0,minor
1104001,0,4.5111794,9.1109219,9.4823856,rural,0,0,0,0,0,0,medium
1104002,0,5.8169861,5.8169861,5.8169861,rural,0,1,0,0,1,1,minor
1104003,0,8.2593365,8.2593365,8.2593365,rural,1,1,1,0,0,0,medium
1104004,0,12.606373,10.810614,10.810614,rural,0,1,0,0,1,1,minor
1104005,0,1.9442569,4.790401,12.819551,urban,0,0,0,0,0,0,medium
1104006,0,4.6854148,8.2917385,17.095543,rural,0,0,0,0,0,0,medium
1104007,0,6.5783558,8.6589289,18.695517,rural,0,0,0,0,0,0,minor
1104008,0,3.6054461,9.8065128,15.428057,rural,0,0,0,0,0,0,medium
1104009,0,7.4399142,13.019967,13.888097,rural,0,1,0,0,1,1,minor
1104010,0,8.7254181,10.468524,11.043012,rural,0,0,0,0,0,0,medium
1104011,0,4.5946679,4.5946679,7.4782495,rural,0,0,0,0,0,0,medium
1104012,0,3.596982,3.596982,9.568985,rural,0,0,0,0,0,0,medium
1104013,0,2.179141,7.0267086,10.568641,rural,0,0,0,0,0,0,medium
1104014,0,3.6172154,5.4291697,15.293128,rural,0,0,0,0,0,0,minor
1104015,0,.55175877,6.2335043,12.878148,urban,0,0,0,0,0,0,minor
1104016,0,7.2159438,12.100091,12.100091,rural,0,0,0,0,0,0,minor
1104017,0,9.9538784,14.127481,12.110235,rural,0,0,0,0,0,0,minor
1104018,0,8.5874729,14.352987,13.991358,rural,0,0,0,0,0,0,medium
1104019,0,10.399271,11.394859,7.5438309,rural,0,0,0,0,0,0,medium
