FACILITY_ID,ON_GRID_AVL,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,URBAN,ON_GRID,EA,SOLAR_INC,SOLAR_ONL,DIESEL_INC,DIESEL_ONL,FACILITY_TYPE,cluster
1103009,0,1.3628573,1.3628573,1.3628573,18.261673,1,0,1,1,1,0,0,3,1
1103010,0,2.6298409,5.4650626,3.4180286,11.598674,0,0,0,0,0,0,0,2,6
1103011,0,2.9836688,2.9836688,2.9836688,17.649626,0,0,1,1,1,0,0,1,1
1103012,0,0.59967625,0.59967625,0.59967625,17.501854,1,0,1,0,0,1,1,1,4
1104001,0,4.5111794,9.1109219,4.5111794,9.4823856,0,0,0,0,0,0,0,2,6
1104002,0,5.8169861,5.8169861,5.8169861,5.8169861,0,0,1,0,0,1,1,1,4
1104003,0,8.2593365,8.2593365,8.2593365,8.2593365,0,1,1,1,0,0,0,2,0
1104004,0,12.606373,10.810614,10.810614,10.810614,0,0,1,0,0,1,1,1,4
1104005,0,1.9442569,4.790401,1.9442569,12.819551,1,0,0,0,0,0,0,2,2
1104006,0,4.6854148,8.2917385,4.6854148,17.095543,0,0,0,0,0,0,0,2,6
1104007,0,6.5783558,8.6589289,6.6420255,18.695517,0,0,0,0,0,0,0,1,6
1104008,0,3.6054461,9.8065128,3.6054461,15.428057,0,0,0,0,0,0,0,2,6
1104009,0,7.4399142,13.019967,7.4399142,13.888097,0,0,1,0,0,1,1,1,4
1104010,0,8.7254181,10.468524,5.0058141,11.043012,0,0,0,0,0,0,0,2,6
1104011,0,4.5946679,4.5946679,4.5946679,7.4782495,0,0,0,0,0,0,0,2,6
1104012,0,3.596982,3.596982,3.596982,9.568985,0,0,0,0,0,0,0,2,6
1104013,0,2.179141,7.0267086,2.179141,10.568641,0,0,0,0,0,0,0,2,6
1104014,0,3.6172154,5.4291697,4.0235181,15.293128,0,0,0,0,0,0,0,1,6
1104015,0,0.55175877,6.2335043,0.55175877,12.878148,1,0,0,0,0,0,0,1,2
1104016,0,7.2159438,12.100091,7.2159438,12.100091,0,0,0,0,0,0,0,1,6
1104017,0,9.9538784,14.127481,9.9538784,12.110235,0,0,0,0,0,0,0,1,6
1104018,0,8.5874729,14.352987,8.5874729,13.991358,0,0,0,0,0,0,0,2,6
1104019,0,10.399271,11.394859,11.023739,7.5438309,0,0,0,0,0,0,0,2,6
1105001,0,1.8621625,1.8621625,1.8621625,1.8621625,0,1,1,1,0,0,0,3,0
1105002,0,3.2745779,3.2745779,3.2745779,3.2745779,0,1,1,1,0,0,0,2,0
1105003,0,8.2532768,9.2289553,8.3868856,9.2289553,0,1,0,0,0,0,0,2,0
1105004,0,4.4488854,6.2944589,6.2944589,6.7419329,0,1,0,0,0,0,0,1,0
1105005,0,0.13845104,0.13845104,0.13845104,0.13845104,1,1,1,1,0,0,0,2,2
1105006,0,0.096745759,0.096745759,0.096745759,0.096745759,0,1,0,0,0,0,0,1,0
1105007,0,0.74289972,0.74289972,0.74289972,0.74289972,1,0,0,0,0,0,0,2,2
1105008,0,4.5453424,4.5453424,4.5453424,4.5453424,0,1,0,0,0,0,0,1,0
1106001,0,0.71696359,0.71696359,0.71696359,12.706536,0,1,0,0,0,0,0,2,0
1106002,0,0.14246474,0.14246474,0.14246474,11.962446,1,1,0,0,0,0,0,1,2
1106003,0,0.77191615,1.455568,1.455568,13.145526,0,1,1,1,0,0,0,2,0
1106004,0,2.4124866,2.4124866,2.4124866,11.659885,1,0,1,1,1,0,0,3,1
1106005,0,1.1899378,1.1899378,1.1899378,11.267062,0,1,0,0,0,0,0,2,0
1106006,0,8.1360388,8.1360388,8.1360388,8.1360388,0,1,0,0,0,0,0,1,0
1106007,0,6.8180375,7.7997775,6.5025368,12.464419,0,1,0,0,0,0,0,2,0
1106008,0,5.8440289,8.9205894,5.8440289,8.9846525,0,1,0,0,0,0,0,2,0
1106009,0,6.1575356,8.4733,11.11003,13.273911,0,1,0,0,0,0,0,1,0
1106010,0,7.5822144,9.766901,9.101018,18.309139,0,1,0,0,0,0,0,2,0
1106011,0,2.6739469,4.8153987,4.8153987,15.8451,0,1,1,1,0,0,0,2,0
1106012,0,5.1196237,7.157691,7.1211643,16.108137,0,0,0,0,0,0,0,2,6
1106013,0,7.0478702,9.0042315,8.7261591,14.650389,0,1,0,0,0,0,0,2,0
1106014,0,5.9580979,10.001335,8.8170547,10.644973,0,1,0,0,0,0,0,2,0
1106015,0,6.1227498,7.5221443,7.5221443,7.5488763,0,1,0,0,0,0,0,2,0
1108003,0,4.0540133,16.081484,4.0540133,4.0540133,0,0,0,0,0,0,0,1,6
1108004,0,5.2857904,19.830551,5.2857904,5.4755521,0,0,0,0,0,0,0,1,6
1108005,0,1.4687349,14.70989,1.4687349,6.2802062,0,0,0,0,0,0,0,1,6
