PC 1,PC 2,cluster
0.335,-0.985,1
0.444,-0.978,1
-0.036,-0.999,1
-0.003,-0.993,1
-0.028,-0.996,1
-0.013,-0.995,1
-0.089,-1.003,1
-0.02,-0.999,1
-0.097,-1.003,1
-0.123,-1.006,1
-0.1,-1.002,1
-0.032,-1.002,1
-0.063,-1.0,1
-0.06,-0.999,1
0.307,-0.985,1
-0.068,-1.0,1
-0.089,-1.002,1
-0.119,-1.001,1
-0.181,-1.004,1
-0.105,-0.999,1
-0.153,-1.002,1
-0.222,-1.006,1
-0.169,-1.001,1
-0.129,-0.369,1
-0.113,-1.005,1
-0.626,-0.392,1
-0.249,-1.013,1
-0.005,-0.999,1
0.275,-0.983,1
0.121,-0.99,1
0.237,-0.985,1
0.12,-0.99,1
-0.365,-1.016,1
-0.018,-0.998,1
-0.058,-0.999,1
-0.379,-0.383,1
0.298,-0.98,1
0.032,-0.998,1
0.244,-0.986,1
-0.205,-1.01,1
-0.346,-1.008,1
-0.397,-1.014,1
-0.099,-1.011,1
-0.157,-1.008,1
-0.09,-1.006,1
-0.035,-0.997,1
0.039,-0.994,1
-0.288,-1.014,1
0.075,-0.992,1
-0.228,-1.013,1
-0.454,-1.021,1
-0.102,-1.007,1
-0.09,-0.375,1
-0.358,-1.014,1
-0.458,-1.021,1
-0.547,-1.025,1
-0.638,-1.028,1
0.182,-0.992,1
-0.401,-1.019,1
-0.409,-1.015,1
-0.56,-1.026,1
-0.003,-0.999,1
0.067,-0.994,1
0.084,-0.996,1
0.065,-0.996,1
-0.086,-0.372,1
0.075,-0.992,1
-0.346,-1.013,1
-0.593,-1.025,1
-0.647,-0.397,1
-0.368,-1.01,1
-0.776,-0.404,1
-0.075,-0.997,1
-0.446,-1.017,1
0.586,-0.963,1
-0.408,-1.015,1
-0.05,-0.996,1
0.916,-0.942,1
0.463,-0.967,1
0.401,-0.975,1
-0.288,-1.005,1
-0.301,-1.006,1
-0.407,-1.016,1
0.81,-0.944,1
0.54,-0.96,1
-0.193,-1.004,1
-0.258,-1.005,1
-0.271,-1.005,1
-0.324,-1.011,1
-0.167,-1.0,1
-0.634,-0.396,1
-0.317,-1.011,1
-0.351,-1.011,1
-0.493,-1.019,1
-0.476,-1.019,1
-0.392,-1.014,1
-0.723,-0.403,1
-0.421,-1.018,1
-0.57,-0.392,1
-0.521,-1.021,1
-0.276,-1.012,1
-0.284,-1.011,1
-0.325,-1.013,1
-0.404,-0.386,1
-0.553,-1.023,1
-0.629,-0.396,1
-0.486,-1.021,1
-0.337,-1.015,1
-0.379,-1.014,1
-0.51,-0.391,1
0.406,-0.971,1
0.398,-0.968,1
0.441,-0.966,1
-0.588,-0.397,1
-0.228,-1.009,1
-0.042,-0.998,1
-0.446,-0.393,1
-0.2,-0.384,1
-0.104,-0.378,1
-0.255,-0.375,1
-0.669,-1.031,1
-0.098,-1.0,1
-0.582,-1.026,1
-0.538,-1.021,1
-0.549,-1.02,1
-0.77,0.229,1
-0.553,-1.019,1
-0.683,-1.029,1
-0.812,0.225,1
-0.063,-0.997,1
-0.399,-0.387,1
0.195,-0.982,1
0.013,-0.993,1
-0.286,-1.008,1
-0.003,-0.993,1
-0.324,-1.012,1
-0.512,-1.022,1
-0.38,-1.013,1
-0.333,-1.009,1
0.052,-0.99,1
0.487,-0.966,1
0.374,-0.964,1
-0.374,-1.012,1
0.147,-0.968,1
0.259,-0.96,1
0.384,-0.95,1
0.512,-0.965,1
0.239,-0.98,1
0.219,-0.979,1
0.316,-0.975,1
0.579,-0.959,1
-0.17,-1.001,1
0.244,-0.962,1
-0.558,-0.391,1
-0.503,-0.388,1
-0.455,-1.017,1
-0.54,-0.391,1
-0.471,-0.388,1
-0.342,-1.012,1
-0.496,-0.389,1
-0.467,-0.386,1
-0.601,-0.395,1
-0.612,-0.396,1
-0.601,-0.394,1
-0.466,-1.019,1
-0.359,-1.012,1
-0.279,-1.007,1
-0.357,-0.38,1
-0.399,-0.383,1
-0.456,-0.388,1
-0.521,-1.022,1
-0.452,-1.018,1
-0.649,-0.398,1
-0.586,-0.395,1
-0.439,-1.019,1
-0.478,-0.392,1
-0.514,-0.391,1
-0.101,-0.997,1
-0.367,-0.382,1
-0.064,-0.996,1
-0.036,-0.99,1
-0.469,-1.016,1
-0.306,-1.01,1
-0.336,-1.011,1
-0.029,-0.992,1
-0.574,-1.025,1
-0.238,-1.0,1
-0.101,-0.992,1
0.19,-0.978,1
-0.162,-0.999,1
-0.164,-1.002,1
-0.595,-0.396,1
-0.486,-1.022,1
-0.566,-0.395,1
-0.098,-0.369,1
-0.18,-1.001,1
-0.6,-0.395,1
-0.525,-1.017,1
-0.468,-1.015,1
-0.383,-1.009,1
-0.489,-1.019,1
-0.444,-1.017,1
-0.465,-1.018,1
-0.415,-1.015,1
-0.354,-1.011,1
-0.627,-1.026,1
-0.558,-1.022,1
