FACILITY_ID,FACILITY_TYPE,URBAN,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,ON_GRID,ON_GRID_AVL,SOLAR_ONL,SOLAR_INC,DIESEL_ONL,DIESEL_INC
1107004,2,1,0,1,0,9,1,0,0,1,0,0
1107005,1,0,4,6,5,14,1,0,0,0,0,0
1107006,1,0,6,8,7,15,1,0,0,0,0,0
1107007,1,0,6,8,7,13,1,0,0,0,0,0
1107008,1,0,0,9,2,4,1,0,0,1,0,0
1107009,1,0,5,5,5,8,0,0,0,0,0,0
1107010,2,0,5,5,5,8,1,0,0,0,0,0
1107011,1,0,6,6,6,12,0,0,0,0,0,0
1107012,1,0,4,4,4,8,1,0,0,0,0,0
1107013,1,0,1,2,2,7,1,0,0,0,0,0
1107014,2,1,0,0,0,9,1,0,0,0,0,0
1107015,2,0,3,8,6,13,1,0,0,0,0,0
1107016,2,0,1,4,2,10,0,0,0,0,0,0
1107017,2,1,0,1,0,9,1,0,0,1,0,0
1107018,1,0,4,8,4,8,1,0,0,0,0,0
1107019,1,0,2,5,5,5,0,0,0,0,0,0
1108001,1,0,2,17,2,2,0,0,0,0,0,0
1108002,2,0,4,15,4,4,0,0,0,0,0,0
1108003,1,0,4,16,4,4,0,0,0,0,0,0
1108004,1,0,5,20,5,5,0,0,0,0,0,0
1108005,1,0,1,15,1,6,0,0,0,0,0,0
1108006,2,0,7,16,7,7,0,0,0,0,0,0
1108007,1,0,7,16,7,7,0,0,0,0,0,0
1108008,2,0,3,11,8,8,0,0,1,1,0,0
1108009,2,1,3,12,8,8,0,0,1,1,0,0
1108010,1,0,6,17,6,6,0,0,0,0,0,0
1108011,1,0,6,10,9,9,0,0,0,0,0,0
1108012,2,0,5,9,8,6,0,0,0,0,0,0
1108013,1,0,7,14,7,7,0,0,0,0,0,0
1108014,1,0,4,13,9,11,0,0,0,0,0,0
1108015,2,0,6,14,10,10,0,0,0,0,0,0
1108016,1,0,5,16,7,8,0,0,0,0,0,0
1108017,2,0,4,11,5,5,0,0,0,0,0,0
1108018,1,0,5,12,11,11,0,0,0,0,0,0
1108019,2,0,4,20,4,6,0,0,0,0,0,0
1108020,1,0,4,18,4,4,0,0,0,0,0,0
1109001,1,0,6,21,2,2,0,0,0,0,0,0
1109002,1,0,5,23,5,7,0,0,0,0,1,1
1109003,1,0,17,20,11,14,0,0,0,0,0,0
1109004,1,0,7,18,7,1,1,0,0,0,0,1
1109005,2,0,6,17,5,2,0,0,0,1,0,1
1109006,1,0,3,18,0,3,1,0,0,0,0,1
1109007,1,0,10,14,10,5,0,0,0,0,0,0
1109008,1,0,6,15,5,3,0,0,0,0,0,0
1109009,1,0,13,23,13,13,0,0,0,0,0,0
1109010,1,0,10,20,10,8,0,0,0,0,0,0
1109011,1,0,4,18,6,9,1,0,0,0,0,1
1109012,2,0,3,17,6,9,0,0,0,0,1,1
1109013,1,0,5,20,5,2,0,0,0,0,0,0
1109014,1,0,5,22,5,5,0,0,0,0,0,0
1109015,1,0,2,20,2,5,0,0,0,0,1,1
1109016,2,0,2,20,2,5,1,0,0,1,0,0
1109017,2,1,0,16,0,0,0,0,0,0,1,1
1109018,2,0,3,16,3,3,1,0,0,1,0,0
1109019,2,1,1,16,1,1,0,0,0,0,1,1
1109020,2,0,3,12,3,3,1,0,0,1,0,0
1110001,3,0,15,9,6,11,0,0,1,1,0,0
1110002,1,0,13,6,4,10,0,0,0,0,1,1
1110003,1,0,4,9,6,6,0,0,0,0,0,0
1110004,3,1,5,3,3,3,0,0,0,0,0,0
1110005,1,0,4,10,7,9,0,0,0,0,0,0
1110006,1,0,5,9,6,8,0,0,0,0,0,0
1110007,1,0,13,5,5,10,0,0,0,0,0,0
1110008,1,0,13,5,5,10,0,0,1,1,0,0
1110009,1,0,15,8,6,12,0,0,0,0,0,0
1110010,2,0,15,8,6,11,1,0,0,0,0,0
1110011,1,0,8,0,0,5,0,0,0,0,0,0
1110012,1,0,9,2,2,6,0,0,0,0,0,0
1110013,2,0,10,5,0,8,0,0,1,1,0,0
1110014,2,0,9,8,3,9,0,0,0,0,0,0
1110015,2,0,7,6,4,6,0,0,1,1,0,0
1110016,2,0,6,7,3,5,0,0,1,1,0,0
1110017,2,0,1,9,4,4,0,0,1,1,0,0
1110018,2,0,15,7,7,12,0,0,0,0,0,0
1110019,1,0,9,11,7,11,0,0,0,0,0,0
1110020,2,0,12,6,5,9,0,0,1,1,0,0
1110021,1,0,11,7,2,10,0,0,0,0,0,0
1110022,1,0,7,9,4,6,0,0,0,0,0,0
1111001,1,0,6,4,4,4,0,0,0,0,0,0
1111002,1,0,14,9,5,13,0,0,0,0,0,0
1111003,2,0,8,11,9,5,0,0,0,0,0,0
1111004,1,0,1,16,1,1,0,0,0,0,1,1
1111005,1,0,17,9,9,12,0,0,0,0,0,0
1111006,1,0,17,9,9,11,0,0,1,1,0,0
1111007,2,0,1,16,1,1,0,0,1,1,0,0
1111008,2,1,1,10,1,1,1,0,0,1,0,0
1111009,2,1,0,9,0,0,1,0,0,1,0,0
1111010,2,1,1,10,1,1,1,0,0,1,0,0
1111011,3,1,1,9,1,1,0,0,1,1,0,0
1111012,1,0,12,6,6,6,0,0,0,0,0,0
1111013,2,0,13,6,6,6,0,0,0,0,0,0
1111014,2,0,12,5,5,5,0,0,0,0,0,0
1111015,1,0,11,10,6,10,0,0,0,0,0,0
1111016,1,0,10,10,9,10,0,0,0,0,0,0
1111017,1,0,5,12,5,5,0,0,1,1,0,0
1111018,1,0,5,9,5,5,0,0,0,0,0,0
1111019,1,0,6,7,6,6,0,0,0,0,0,0
1111020,2,0,8,6,6,6,0,0,1,1,0,0
1111021,1,0,10,16,10,4,0,0,1,1,0,0
1111022,1,0,10,9,9,6,0,0,0,0,0,0
1111023,2,0,8,8,8,9,0,0,1,1,0,0
1111024,1,0,5,14,5,5,0,0,1,1,0,0
1111025,2,0,6,12,6,6,0,0,1,1,0,0
1112001,2,0,8,8,8,11,1,0,0,0,0,0
1112002,2,0,7,9,7,7,1,0,0,0,0,0
1112003,2,0,1,1,3,4,0,0,0,0,0,0
1112004,2,1,1,1,1,3,1,0,0,0,0,0
1112005,3,1,1,1,1,3,1,0,0,0,0,0
1112006,1,0,2,2,2,4,1,0,0,0,0,0
1112007,2,0,4,4,4,7,1,0,0,0,0,0
1112008,2,0,5,5,8,12,1,0,0,0,0,0
1112009,1,0,5,5,9,13,0,0,0,0,0,0
1112010,1,0,4,4,6,10,1,0,0,0,0,0
1112011,1,0,5,5,5,9,1,0,0,0,0,0
1112012,1,0,7,7,7,11,1,0,0,0,0,0
1112013,2,0,7,7,7,11,1,0,0,0,0,0
1113001,1,0,9,5,4,13,0,0,0,0,1,1
1113002,2,0,11,3,1,12,1,0,0,1,0,0
1113003,2,0,11,3,2,11,0,0,0,0,0,0
1113004,2,0,10,2,0,11,1,0,0,1,0,0
1113005,2,0,5,5,2,6,0,0,1,1,0,0
1113006,1,0,6,4,0,8,0,0,0,0,1,1
1113007,2,1,8,1,1,9,1,0,0,1,0,0
1113008,3,1,8,1,1,9,0,0,1,1,0,0
1113009,2,0,5,5,5,5,1,0,0,1,0,0
1113010,2,0,6,6,5,6,1,0,0,1,0,0
1113011,2,0,6,6,3,6,1,0,0,1,0,0
1113012,2,0,7,7,2,7,1,0,0,1,0,0
1113013,2,0,8,5,0,8,1,0,0,1,0,0
1113014,2,0,8,5,0,8,0,0,1,1,0,0
1113015,2,0,2,2,2,2,0,0,1,1,0,0
1113016,2,0,2,2,2,2,1,0,0,1,0,0
1113017,1,0,11,7,5,13,0,0,0,0,1,1
1113018,1,0,11,6,4,11,0,0,0,0,1,1
1113019,2,0,9,4,4,9,0,0,0,0,1,1
1113020,2,0,7,2,2,10,0,0,1,1,0,0
1113021,1,0,9,6,5,9,1,0,0,0,0,0
1113022,2,0,3,3,3,4,0,0,1,1,0,0
1113023,1,0,6,6,6,6,0,0,0,0,0,0
1113024,2,0,3,3,4,3,1,0,0,1,0,0
1114001,1,0,13,2,16,13,0,0,0,0,0,0
1114002,1,0,13,5,16,11,0,0,0,0,0,0
1114003,1,0,12,5,13,10,0,0,0,0,0,0
1114004,2,0,11,6,13,9,0,0,0,0,0,0
1114005,1,0,5,5,5,5,0,0,0,0,0,0
1114006,2,0,5,4,4,6,0,0,0,0,0,0
1114007,1,0,5,5,8,8,0,0,0,0,0,0
1114008,1,0,10,2,13,13,0,0,0,0,0,0
1114009,1,0,10,8,10,8,0,0,0,0,0,0
1114010,1,0,10,10,13,9,0,0,0,0,0,0
1114011,2,0,7,7,10,5,0,0,0,0,0,0
1114012,2,0,0,0,6,0,0,0,1,1,0,0
1114013,2,0,2,2,8,3,0,0,1,1,0,0
1114014,2,0,5,5,4,5,0,0,0,0,0,0
1115001,2,1,2,2,3,8,1,0,0,0,0,0
1115002,2,0,4,5,5,8,0,0,1,1,0,0
1115003,1,1,4,4,4,14,0,0,0,0,0,0
1115004,1,1,3,3,3,13,1,0,0,0,0,0
1115005,2,1,0,0,0,11,1,0,0,0,0,0
1115006,2,0,3,3,3,10,0,0,0,0,1,1
1115007,1,1,0,3,3,8,1,0,0,0,0,0
1115008,2,0,8,8,9,12,1,0,0,0,0,0
