FACILITY_ID;GOV;DISTRICT;FACILITY_TYPE;URBAN;MIN_AIR_2015;MIN_AIR_2016;MIN_GROUND_2015;MIN_GROUND_2016;ON_GRID;ON_GRID_AVL;SOLAR_ONL;SOLAR_INC;DIESEL_ONL;DIESEL_INC;cluster
2919009;Amran;Khammer;1;0;4;4;4;33;1;0;0;1;0;0;0
1114005;Ibb;As Sabrah;1;0;5;5;5;5;0;0;0;0;0;0;6
2515003;Lahj;Tuban;1;0;4;6;4;4;1;0;0;0;0;0;0
2011012;Dhamar;Dawran Aness;1;0;11;11;14;27;0;0;0;0;0;0;6
2102003;Shabwa;At'talih;1;0;92;58;82;85;0;0;0;0;0;0;6
1501010;Taiz;Mawiyah;2;0;6;6;6;3;0;0;0;0;0;1;4
2315009;Sana'a;Al Husn;1;0;3;3;11;18;0;0;0;0;0;0;6
1807016;Al-Hodaida;Az Zaydiyah;1;0;10;10;10;39;0;0;0;0;0;0;6
2904001;Amran;Al  Qaflah;1;0;8;8;8;8;0;0;0;0;0;0;6
1102011;Ibb;Yarim;2;0;7;1;7;7;0;0;0;0;0;0;6
1506003;Taiz;Al Mukha;1;0;19;0;26;27;0;0;0;0;0;0;6
1512012;Taiz;Al Misrakh;1;0;3;4;1;2;0;0;0;0;0;0;6
3002019;Al-Dhala;Damt;2;0;9;9;5;9;0;0;0;0;0;0;6
2508005;Lahj;Al Milah;1;0;18;18;17;33;0;0;0;0;0;0;6
1114009;Ibb;As Sabrah;1;0;10;8;10;8;0;0;0;0;0;0;6
2709006;Al-Mahweet;Al Mahwait;1;0;12;6;12;30;0;0;0;0;0;0;6
2515010;Lahj;Tuban;1;0;1;4;1;1;0;0;0;0;0;0;6
2203008;Sa'adah;Munabbih;1;0;3;3;7;7;0;0;0;0;0;0;6
2512001;Lahj;Al Maqatirah;1;0;7;1;7;2;1;0;0;0;0;0;0
3105013;Rimah;Al Jafariyah;1;0;8;25;12;49;0;0;0;0;0;0;6
1108014;Ibb;Hubaysh;1;0;4;13;9;11;0;0;0;0;0;0;6
2214008;Sa'adah;Kitaf and Al  Buqa;2;0;0;0;0;0;0;0;0;0;0;0;6
2305001;Sana'a;Sanhan;1;0;5;5;17;8;1;0;0;0;0;0;0
3009016;Al-Dhala;Al Husha;2;0;14;12;14;14;0;0;0;0;0;0;6
3106011;Rimah;Mazhar;1;0;7;20;8;43;0;0;0;0;0;0;6
2916008;Amran;Maswar;1;0;9;4;9;11;1;0;0;1;0;0;0
2913010;Amran;As Sudah;1;0;19;3;18;37;0;0;0;0;0;0;6
1730006;Hajjah;Wash'hh;1;0;4;5;15;3;0;0;0;0;0;0;6
2010008;Dhamar;Anss;1;0;9;13;20;20;1;0;0;0;0;0;0
2703021;Al-Mahweet;Ar Rujum;1;0;5;5;5;21;1;0;0;0;0;0;0
2316010;Sana'a;Jahanh;1;0;6;6;10;14;0;0;0;0;0;0;6
1113012;Ibb;Ba'dan;2;0;7;7;2;7;1;0;0;1;0;0;0
2107010;Shabwa;Baihan;1;0;3;3;3;9;1;0;0;0;0;0;0
1819003;Al-Hodaida;Hays;1;0;9;6;20;21;0;0;0;0;0;0;6
1820003;Al-Hodaida;Al Khawkhah;1;0;4;4;4;4;0;0;0;0;0;0;6
3104011;Rimah;Kusmah;1;0;2;23;15;42;0;0;0;0;0;0;6
2502010;Lahj;Yafa'a;1;0;29;7;14;2;1;0;0;0;0;0;0
3001009;Al-Dhala;Juban;1;0;13;22;10;10;0;0;0;0;0;0;6
2918009;Amran;Iyal Surayh;2;0;3;3;22;7;1;0;0;0;0;0;0
1419002;Al-baida;Ash Sharyah;3;0;11;13;11;17;0;0;0;1;0;0;0
1806014;Al-Hodaida;Al Qanawis;1;0;13;6;8;14;0;0;0;0;0;0;6
2702011;Al-Mahweet;AtTawilah;1;0;6;9;26;28;0;0;0;0;0;0;6
2303007;Sana'a;Nahm;1;0;4;1;4;1;0;0;0;0;0;0;6
2104002;Shabwa;Arma;1;0;86;38;74;81;0;0;0;0;0;0;6
2209006;Sa'adah;Saqayn;1;0;2;2;6;4;0;0;0;0;0;0;6
2510016;Lahj;Al Qabbaytah;1;0;5;9;7;3;0;0;0;0;0;0;6
1802012;Al-Hodaida;Alluhaiyah;1;0;12;25;8;41;0;0;0;0;0;0;6
1730003;Hajjah;Wash'hh;2;0;1;7;13;2;0;0;0;0;0;0;6
1112003;Ibb;Jiblah;2;0;1;1;3;4;0;0;0;0;0;0;6
1501006;Taiz;Mawiyah;1;0;2;1;5;2;0;0;0;0;0;0;6
1509006;Taiz;Jabal Habasi;1;0;5;3;3;3;0;0;0;0;0;0;6
1707004;Hajjah;Kushar;1;0;5;5;10;11;0;0;0;0;0;0;6
1111022;Ibb;Al Udayn;1;0;10;9;9;6;0;0;0;0;0;0;6
2012006;Dhamar;Al Manar;1;0;6;6;12;12;1;0;0;0;0;0;0
1108018;Ibb;Hubaysh;1;0;5;12;11;11;0;0;0;0;0;0;6
2011010;Dhamar;Dawran Aness;1;0;16;8;16;25;0;0;0;0;0;0;6
1111014;Ibb;Al Udayn;2;0;12;5;5;5;0;0;0;0;0;0;6
1505034;Taiz;Maqbanah;1;0;7;7;7;7;0;0;0;0;0;0;6
3105014;Rimah;Al Jafariyah;1;0;2;29;20;46;0;0;0;0;0;0;6
2211006;Sa'adah;Sahar;1;0;1;1;7;5;0;0;0;0;0;0;6
2709012;Al-Mahweet;Al Mahwait;1;0;6;5;6;24;0;0;0;0;0;0;6
