MIN_DISTANCE_AIRBORNE_2015,MIN_DISTANCE_AIRBORNE_2016,MIN_DISTANCE_GROUND_2015,MIN_DISTANCE_GROUND_2016,FACILITY_TYPE_MODELLED,ON_GRID_AVL,URBAN,ON_GRID,SOLAR_ONL,DIESEL_ONL,cluster
0.13845104,0.13845104,0.13845104,0.13845104,2,False,True,True,False,False,2
0.096745759,0.096745759,0.096745759,0.096745759,1,False,False,True,False,False,0
0.74289972,0.74289972,0.74289972,0.74289972,2,False,True,False,False,False,2
4.5453424,4.5453424,4.5453424,4.5453424,1,False,False,True,False,False,0
0.71696359,0.71696359,0.71696359,12.706536,2,False,False,True,False,False,0
0.14246474,0.14246474,0.14246474,11.962446,1,False,True,True,False,False,2
0.77191615,1.455568,1.455568,13.145526,2,False,False,True,False,False,0
2.4124866,2.4124866,2.4124866,11.659885,3,False,True,False,True,False,1
1.1899378,1.1899378,1.1899378,11.267062,2,False,False,True,False,False,0
8.1360388,8.1360388,8.1360388,8.1360388,1,False,False,True,False,False,0
6.8180375,7.7997775,6.5025368,12.464419,2,False,False,True,False,False,0
5.8440289,8.9205894,5.8440289,8.9846525,2,False,False,True,False,False,0
6.1575356,8.4733,11.11003,13.273911,1,False,False,True,False,False,0
7.5822144,9.766901,9.101018,18.309139,2,False,False,True,False,False,0
2.6739469,4.8153987,4.8153987,15.8451,2,False,False,True,False,False,0
5.1196237,7.157691,7.1211643,16.108137,2,False,False,False,False,False,0
7.0478702,9.0042315,8.7261591,14.650389,2,False,False,True,False,False,0
5.9580979,10.001335,8.8170547,10.644973,2,False,False,True,False,False,0
6.1227498,7.5221443,7.5221443,7.5488763,2,False,False,True,False,False,0
2.7277207,6.7587538,5.8035059,11.007259,2,False,False,True,False,False,0
5.3635645,5.620338,3.9703565,13.17791,2,False,False,True,False,False,0
1.7339903,3.8123541,2.1933439,12.846393,2,False,False,True,False,False,0
0.44297966,4.3147907,2.9803846,10.107533,2,False,True,True,False,False,2
0.3946254,4.3619003,3.0251615,10.141157,3,False,True,True,False,False,2
0.48595047,4.2979093,2.9751081,10.036904,2,False,True,True,False,False,2
0.19100335,1.2784625,0.19100335,9.4451704,2,False,True,True,False,False,2
4.2988453,5.8753123,4.9118204,14.301463,1,False,False,True,False,False,0
5.851326,8.1013336,7.1047492,14.593911,1,False,False,True,False,False,0
6.4857326,7.8319573,6.6878023,13.353303,1,False,False,True,False,False,0
0.37926909,8.6818647,1.7071936,3.5029752,1,False,False,True,False,False,0
4.9506831,4.9506831,4.9506831,7.6240025,1,False,False,False,False,False,0
4.6710792,4.6710792,4.6710792,7.9632726,2,False,False,True,False,False,0
5.6025777,6.0143495,5.6025777,12.16586,1,False,False,False,False,False,0
3.5187099,3.7635477,3.7635477,8.2708921,1,False,False,True,False,False,0
1.4543779,2.3297534,2.3297534,6.6536508,1,False,False,True,False,False,0
0.40439573,0.40439573,0.40439573,9.1208563,2,False,True,True,False,False,2
2.9026787,7.7313132,6.3110642,12.994519,2,False,False,True,False,False,0
1.1045073,3.6725523,2.3792231,9.6677151,2,False,False,False,False,False,0
0.10495324,1.3858922,0.10495324,9.3548832,2,False,True,True,False,False,2
4.1087198,7.917273,4.1087198,8.0676489,1,False,False,True,False,False,0
2.2187881,4.8620763,4.8620763,4.8620763,1,False,False,False,False,False,0
1.9323078,17.19912,1.9323078,1.9323078,1,False,False,False,False,False,0
4.4243469,14.934255,4.4243469,4.4243469,2,False,False,False,False,False,0
4.0540133,16.081484,4.0540133,4.0540133,1,False,False,False,False,False,0
5.2857904,19.830551,5.2857904,5.4755521,1,False,False,False,False,False,0
1.4687349,14.70989,1.4687349,6.2802062,1,False,False,False,False,False,0
7.1362991,15.86136,7.1362991,7.1362991,2,False,False,False,False,False,0
7.1034217,15.975038,7.1034217,7.1034217,1,False,False,False,False,False,0
3.4825292,10.982289,8.1790514,7.7921996,2,False,False,False,True,False,1
3.2971394,11.503112,8.4740734,8.466588,2,False,True,False,True,False,1
6.2242117,16.935457,6.4949651,6.4949651,1,False,False,False,False,False,0
6.3410363,9.5186644,8.7400742,9.1330147,1,False,False,False,False,False,0
5.2396884,8.9667473,8.038516,6.2730098,2,False,False,False,False,False,0
6.5857506,13.6145,6.5857506,6.5857506,1,False,False,False,False,False,0
4.1457043,12.687629,9.2152491,10.878781,1,False,False,False,False,False,0
6.0316997,13.767659,9.7071037,9.7071037,2,False,False,False,False,False,0
4.5613613,16.177961,7.2446394,7.7324052,1,False,False,False,False,False,0
4.0841537,10.947143,5.3978114,5.0260663,2,False,False,False,False,False,0
5.2525091,12.342952,10.996294,10.970574,1,False,False,False,False,False,0
4.0451384,19.858114,4.0451384,6.2330289,2,False,False,False,False,False,0
4.2987113,17.974091,4.2987113,4.2987113,1,False,False,False,False,False,0
5.5525885,21.154255,1.7792463,1.7792463,1,False,False,False,False,False,0
5.2677627,23.25841,5.2677627,7.4117846,1,False,False,False,False,True,4
16.863256,19.73411,10.9254,14.496201,1,False,False,False,False,False,0
7.1493077,18.210651,6.7143459,0.57468939,1,False,False,True,False,False,0
